dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
stats19,4409,future,lightgbm_legacy,accuracy,0.64699238063154563,0.6444459857124456,0.64942978588484745
stats19,4409,future,lightgbm_revised,accuracy,0.64699238063154563,0.6444459857124456,0.64942978588484745
stats19,4409,future,dummy_most_frequent,fatal_recall,0,0,0
stats19,4409,future,logistic_weighted,fatal_recall,0.20106524633821571,0.18042609853528629,0.22103861517976031
stats19,4409,future,lightgbm_legacy,fatal_recall,0.13448735019973368,0.118508655126498,0.1511318242343542
stats19,4409,future,lightgbm_revised,fatal_recall,0.13448735019973368,0.118508655126498,0.1511318242343542
stats19,4409,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
stats19,4409,future,logistic_weighted,serious_or_fatal_recall,0.19490207028601061,0.18999461486297817,0.19992919542063906
stats19,4409,future,lightgbm_legacy,serious_or_fatal_recall,0.25278232079460689,0.24759563604451712,0.2582472376241573
stats19,4409,future,lightgbm_revised,serious_or_fatal_recall,0.25278232079460689,0.24759563604451712,0.2582472376241573
stats19,4409,future,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
stats19,4409,future,logistic_weighted,mean_asymmetric_cost,0.64557551497617094,0.64174081266658078,0.6494798220496002
stats19,4409,future,lightgbm_legacy,mean_asymmetric_cost,0.60401081970136827,0.60037304190157237,0.60797482338720066
stats19,4409,future,lightgbm_revised,mean_asymmetric_cost,0.60401081970136827,0.60037304190157237,0.60797482338720066
stats19,5501,internal,dummy_most_frequent,macro_f1,0.2920448032329826,0.2920448032329826,0.2920448032329826
stats19,5501,internal,logistic_weighted,macro_f1,0.32533875098272608,0.32290938433604832,0.32777384426838235
stats19,5501,internal,lightgbm_legacy,macro_f1,0.35516866466255231,0.35231850726849351,0.35812270639635613
stats19,5501,internal,lightgbm_revised,macro_f1,0.35516866466255231,0.35231850726849351,0.35812270639635613
stats19,5501,internal,dummy_most_frequent,qwk,0,0,0
stats19,5501,internal,logistic_weighted,qwk,0.099060244019524291,0.095153300665643134,0.10315492037016191
stats19,5501,internal,lightgbm_legacy,qwk,0.11979698445835507,0.11473835834130582,0.12513663109507453
stats19,5501,internal,lightgbm_revised,qwk,0.11979698445835507,0.11473835834130582,0.12513663109507453
stats19,5501,internal,dummy_most_frequent,ordinal_mae,0.23491826404447763,0.23491826404447763,0.23491826404447763
stats19,5501,internal,logistic_weighted,ordinal_mae,0.69433034602937516,0.68968342876109867,0.6991650070533566
stats19,5501,internal,lightgbm_legacy,ordinal_mae,0.53569205875031123,0.53161537424280148,0.53975940793295163
stats19,5501,internal,lightgbm_revised,ordinal_mae,0.53569205875031123,0.53161537424280148,0.53975940793295163
stats19,5501,internal,dummy_most_frequent,accuracy,0.77957223466932202,0.77957223466932202,0.77957223466932202
stats19,5501,internal,logistic_weighted,accuracy,0.48664011285370506,0.48363180441457143,0.48953406356318979
stats19,5501,internal,lightgbm_legacy,accuracy,0.54758941166708153,0.5446433387270766,0.55070196456725584
stats19,5501,internal,lightgbm_revised,accuracy,0.54758941166708153,0.5446433387270766,0.55070196456725584
