group,model,metric,estimate,ci_lower,ci_upper
random_seed_2207_internal,logistic_weighted,accuracy,0.48140195834370592,0.4783625321550079,0.48444190316156333
random_seed_2207_internal,logistic_weighted,fatal_recall,0.64091559370529327,0.61587982832618027,0.66452074391988558
random_seed_2207_internal,logistic_weighted,macro_f1,0.32149664632681185,0.31902065069111657,0.3239712201828337
random_seed_2207_internal,logistic_weighted,mean_asymmetric_cost,0.79707078250767571,0.79163528960252261,0.80229908306364617
random_seed_2207_internal,logistic_weighted,ordinal_mae,0.70238984316654218,0.69743148908804253,0.70722372624678453
random_seed_2207_internal,logistic_weighted,qwk,0.098519625667027211,0.094732993914171129,0.10258784317523911
random_seed_2207_internal,logistic_weighted,serious_or_fatal_recall,0.61773009599096551,0.61161302465650291,0.62398833051006963
random_seed_3301_2024,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_3301_2024,dummy_most_frequent,fatal_recall,0,0,0
random_seed_3301_2024,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_3301_2024,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_3301_2024,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_3301_2024,dummy_most_frequent,qwk,0,0,0
random_seed_3301_2024,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_3301_2024,lightgbm_weighted,accuracy,0.59989893685535089,0.59709369147998059,0.60274257631753647
random_seed_3301_2024,lightgbm_weighted,fatal_recall,0.16178428761651131,0.14447403462050598,0.18042609853528629
random_seed_3301_2024,lightgbm_weighted,macro_f1,0.3632115758731414,0.35994518980337353,0.36648220697676875
random_seed_3301_2024,lightgbm_weighted,mean_asymmetric_cost,0.62458014208289159,0.62009125407472721,0.62892016011572727
random_seed_3301_2024,lightgbm_weighted,ordinal_mae,0.44827449542738812,0.44480589931336512,0.45179213689102027
random_seed_3301_2024,lightgbm_weighted,qwk,0.086756604340350485,0.080667045912467331,0.09306614800763513
random_seed_3301_2024,lightgbm_weighted,serious_or_fatal_recall,0.39064182855319318,0.38485779249272012,0.39662631138058957
random_seed_3301_2024,logistic_unweighted,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
random_seed_3301_2024,logistic_unweighted,fatal_recall,0,0,0
random_seed_3301_2024,logistic_unweighted,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
random_seed_3301_2024,logistic_unweighted,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
random_seed_3301_2024,logistic_unweighted,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
random_seed_3301_2024,logistic_unweighted,qwk,0,0,0
random_seed_3301_2024,logistic_unweighted,serious_or_fatal_recall,0,0,0
random_seed_3301_2024,logistic_weighted,accuracy,0.56075183053097788,0.55789803521357018,0.56377406442280065
random_seed_3301_2024,logistic_weighted,fatal_recall,0.45739014647137149,0.43207390146471375,0.48202396804260983
random_seed_3301_2024,logistic_weighted,macro_f1,0.34373832488971789,0.34118942238473954,0.3465110127600658
random_seed_3301_2024,logistic_weighted,mean_asymmetric_cost,0.71521000326968998,0.70998617812874654,0.7201450057962685
random_seed_3301_2024,logistic_weighted,ordinal_mae,0.55933496487560319,0.55500485499420371,0.56367473520465283
random_seed_3301_2024,logistic_weighted,qwk,0.097484855872890241,0.092269611102054797,0.10289252634655706
random_seed_3301_2024,logistic_weighted,serious_or_fatal_recall,0.4374725756910926,0.43152798276756155,0.44389485021341096
random_seed_3301_internal,dummy_most_frequent,accuracy,0.77957223466932202,0.77957223466932202,0.77957223466932202
random_seed_3301_internal,dummy_most_frequent,fatal_recall,0,0,0
random_seed_3301_internal,dummy_most_frequent,macro_f1,0.2920448032329826,0.2920448032329826,0.2920448032329826
random_seed_3301_internal,dummy_most_frequent,mean_asymmetric_cost,0.48432702680275497,0.48432702680275497,0.48432702680275497
random_seed_3301_internal,dummy_most_frequent,ordinal_mae,0.23491826404447763,0.23491826404447763,0.23491826404447763
random_seed_3301_internal,dummy_most_frequent,qwk,0,0,0
random_seed_3301_internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
random_seed_3301_internal,lightgbm_weighted,accuracy,0.54317069122894368,0.54019375985395401,0.54631410256410251
random_seed_3301_internal,lightgbm_weighted,fatal_recall,0.37365783822476734,0.34931997136721549,0.39872942018611296
random_seed_3301_internal,lightgbm_weighted,macro_f1,0.35192927448569017,0.34904259414252936,0.35474422632452707
random_seed_3301_internal,lightgbm_weighted,mean_asymmetric_cost,0.66351340137747905,0.65861728279810805,0.66846190150195006
random_seed_3301_internal,lightgbm_weighted,ordinal_mae,0.54514148203468593,0.54090920877935444,0.5492700294581363
random_seed_3301_internal,lightgbm_weighted,qwk,0.11019892616209559,0.1049326036441932,0.11522926194956362
random_seed_3301_internal,lightgbm_weighted,serious_or_fatal_recall,0.54533904286857093,0.53837348830643261,0.55178579831537344
random_seed_3301_internal,logistic_unweighted,accuracy,0.77957223466932202,0.77954111691975769,0.77960335241888645
random_seed_3301_internal,logistic_unweighted,fatal_recall,0,0,0
random_seed_3301_internal,logistic_unweighted,macro_f1,0.29207959756087021,0.29204043606916019,0.29215235757571284
random_seed_3301_internal,logistic_unweighted,mean_asymmetric_cost,0.48429590905319059,0.48422330097087379,0.4843477719691312
random_seed_3301_internal,logistic_unweighted,ordinal_mae,0.23490789146128951,0.23487677371172516,0.23493900921085387
