group,candidate,reference,metric,delta,ci_lower,ci_upper,design,iterations
random_seed_3301_internal,lightgbm_weighted,logistic_unweighted,mean_asymmetric_cost,0.17921749232428846,0.17432111443033771,0.18416547381960002,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_unweighted,ordinal_mae,0.31023359057339639,0.3060013173180649,0.31437251058003479,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_unweighted,qwk,0.11001850781990186,0.10484429658270296,0.11509014652312416,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_unweighted,serious_or_fatal_recall,0.54524492965036941,0.5382334948943579,0.55164580490329873,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_weighted,accuracy,0.060306198655713239,0.057401875363040478,0.063324879678035018,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_weighted,fatal_recall,-0.25411596277738008,-0.27918754473872587,-0.22906227630637077,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_weighted,macro_f1,0.029703224206974577,0.026806723634365461,0.032558505951552554,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,-0.1324890050618206,-0.13726065264293419,-0.12778996556302391,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_weighted,ordinal_mae,-0.15430254750643102,-0.1583582275329849,-0.15017322213924164,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_weighted,qwk,0.015235447376098499,0.010935047417067124,0.019427649563868422,paired_true_class_stratified,2000
random_seed_3301_internal,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,-0.065549856477342239,-0.071761328878641062,-0.059714836948849492,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,dummy_most_frequent,accuracy,-0.15713337362648261,-0.15992772003527309,-0.15428923875672523,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,dummy_most_frequent,fatal_recall,0.20505992010652463,0.18508655126498003,0.22503328894806923,paired_true_class_stratified,2000
random_seed_4409_2024,lightgbm_weighted,dummy_most_frequent,macro_f1,0.078780304880700425,0.075573326921927031,0.081948374746196956,paired_true_class_stratified,2000
