group,model,true,predicted,count
random_seed_5501_2024,logistic_unweighted,1,1,1
random_seed_5501_2024,logistic_unweighted,1,2,0
random_seed_5501_2024,logistic_unweighted,2,0,1502
random_seed_5501_2024,logistic_unweighted,2,1,0
random_seed_5501_2024,logistic_unweighted,2,2,0
random_seed_5501_2024,logistic_weighted,0,0,49256
random_seed_5501_2024,logistic_weighted,0,1,13039
random_seed_5501_2024,logistic_weighted,0,2,13563
random_seed_5501_2024,logistic_weighted,1,0,12812
random_seed_5501_2024,logistic_weighted,1,1,4681
random_seed_5501_2024,logistic_weighted,1,2,6074
random_seed_5501_2024,logistic_weighted,2,0,481
random_seed_5501_2024,logistic_weighted,2,1,199
random_seed_5501_2024,logistic_weighted,2,2,822
random_seed_5501_2024,lightgbm_weighted,0,0,52746
random_seed_5501_2024,lightgbm_weighted,0,1,17785
random_seed_5501_2024,lightgbm_weighted,0,2,5327
random_seed_5501_2024,lightgbm_weighted,1,0,14131
random_seed_5501_2024,lightgbm_weighted,1,1,6984
random_seed_5501_2024,lightgbm_weighted,1,2,2452
random_seed_5501_2024,lightgbm_weighted,2,0,682
random_seed_5501_2024,lightgbm_weighted,2,1,448
random_seed_5501_2024,lightgbm_weighted,2,2,372
