year,field_name,observed_value,count,pct
2025,roadCharacter,Tram lines,2,0.00018971732119142478
2025,roadLane,2-way,9072,0.8605577689243028
2025,roadLane,1-way,1252,0.11876304306583191
2025,roadLane,Off road,210,0.0199203187250996
2025,roadLane,Null,8,0.0007588692847656991
2025,roadSurface,Sealed,10209,0.9684120660216278
2025,roadSurface,Unsealed,317,0.030070195408840827
2025,roadSurface,End of seal,9,0.0008537279453614115
2025,roadSurface,Null,7,0.0006640106241699867
2025,streetLight,Off,4794,0.45475241889584517
2025,streetLight,None,3536,0.335420223866439
2025,streetLight,On,2008,0.19047619047619047
2025,streetLight,Null,204,0.01935116676152533
2025,trafficControl,Nil,7196,0.6826029216467463
2025,trafficControl,Give way,1861,0.17653196736862076
2025,trafficControl,Traffic Signals,737,0.06991083285904003
2025,trafficControl,Stop,728,0.06905710491367861
2025,trafficControl,Isolated Pedestrian signal (non-intersection),11,0.0010434452665528363
2025,trafficControl,Pointsman,6,0.0005691519635742744
2025,trafficControl,Unknown,3,0.0002845759817871372
2025,urban,Urban,6411,0.6081388730791121
2025,urban,Open,4131,0.39186112692088787
2025,weatherA,Fine,8608,0.8165433504078923
2025,weatherA,Light rain,1419,0.13460443938531588
2025,weatherA,Heavy rain,338,0.03206222728135079
2025,weatherA,Mist or Fog,152,0.014418516410548284
2025,weatherA,Null,13,0.0012331625877442611
2025,weatherA,Hail or Sleet,11,0.0010434452665528363
2025,weatherA,Snow,1,9.485866059571239e-05
2025,weatherB,Null,10018,0.9502940618478467
2025,weatherB,Strong wind,337,0.031967368620755075
2025,weatherB,Frost,180,0.01707455890722823
2025,weatherB,None,7,0.0006640106241699867
2025,holiday,__MISSING__,9972,0.9459305634604439
2025,holiday,Christmas New Year,248,0.023524947827736672
2025,holiday,Easter,114,0.010813887307911212
2025,holiday,Queens Birthday,111,0.010529311326124075
2025,holiday,Labour Weekend,97,0.009201290077784101
