group_key,evaluation_scope,split_slug,sample_role,seed,candidate,reference,metric,direction,candidate_point,reference_point,raw_delta_candidate_minus_reference,raw_delta_ci_lower,raw_delta_ci_upper,oriented_advantage,oriented_advantage_ci_lower,oriented_advantage_ci_upper,positive_oriented_advantage_favors,resampling_relation,confidence_level,bootstrap_iterations
random_seed_4409__2024_diagnostic,random_model_on_2024,random_seed_4409,random_model_future_test,4409,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.6040108197013683,0.6455755149761709,-0.041564695274802665,-0.04507242858699854,-0.037739405709076815,0.041564695274802665,0.037739405709076815,0.04507242858699854,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,5501,lightgbm_weighted,logistic_weighted,macro_f1,higher_is_better,0.3551686646625523,0.3253387509827261,0.029829913679826237,0.027048618431276147,0.03269534193690584,0.029829913679826237,0.027048618431276147,0.03269534193690584,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,5501,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.11979698445835507,0.09906024401952429,0.02073674043883078,0.016395123468588877,0.025017679621730144,0.02073674043883078,0.016395123468588877,0.025017679621730144,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,5501,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.5356920587503112,0.6943303460293752,-0.15863828727906393,-0.16253915650153516,-0.15462306032694384,0.15863828727906393,0.1546230603269438,0.16253915650153516,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,5501,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.5475894116670815,0.48664011285370506,0.06094929881337646,0.05798274002157494,0.06399909758526262,0.06094929881337646,0.05798274002157494,0.06399909758526262,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,5501,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.3686471009305655,0.6499642090193272,-0.28131710808876165,-0.3071045096635648,-0.25552970651395857,-0.28131710808876165,-0.3071045096635648,-0.25552970651395857,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,5501,lightgbm_weighted,logistic_weighted,serious_or_fatal_recall,higher_is_better,0.5532445531974965,0.614276975201167,-0.06103242200367043,-0.06677450472918929,-0.054678603359841815,-0.06103242200367043,-0.06677450472918929,-0.054678603359841815,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__internal_test,random_reference_test,random_seed_5501,random_internal_test,5501,lightgbm_weighted,logistic_weighted,mean_asymmetric_cost,lower_is_better,0.6524666002821342,0.7894987967803502,-0.13703219649821596,-0.141669000497884,-0.13235234627831713,0.13703219649821596,0.13235234627831713,0.141669000497884,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,5501,lightgbm_weighted,logistic_weighted,macro_f1,higher_is_better,0.3592118373481972,0.35061263442770096,0.008599202920496263,0.005286375399236036,0.012058545856118283,0.008599202920496263,0.005286375399236036,0.012058545856118283,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,5501,lightgbm_weighted,logistic_weighted,qwk,higher_is_better,0.06750517143271462,0.06910495125668659,-0.0015997798239719696,-0.007024422827984761,0.003740208812236097,-0.0015997798239719696,-0.007024422827984761,0.003740208812236097,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,5501,lightgbm_weighted,logistic_weighted,ordinal_mae,lower_is_better,0.38886521941601354,0.4465306607746193,-0.05766544135860574,-0.060766692758132124,-0.054643455170568844,0.05766544135860574,0.054643455170568844,0.060766692758132124,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,5501,lightgbm_weighted,logistic_weighted,accuracy,higher_is_better,0.6478940224122386,0.6277507505424713,0.020143271869767276,0.01772543521555183,0.022560860820196708,0.020143271869767276,0.01772543521555183,0.022560860820196708,lightgbm_weighted,paired_same_collision_records,0.95,2000
random_seed_5501__2024_diagnostic,random_model_on_2024,random_seed_5501,random_model_future_test,5501,lightgbm_weighted,logistic_weighted,fatal_recall,higher_is_better,0.10252996005326231,0.2609853528628495,-0.1584553928095872,-0.177762982689747,-0.1391478029294274,-0.1584553928095872,-0.177762982689747,-0.1391478029294274,lightgbm_weighted,paired_same_collision_records,0.95,2000
