dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
cas,2207,future,lightgbm_legacy,fatal_recall,0.38610038610038611,0.32432432432432434,0.44787644787644787
cas,2207,future,lightgbm_revised,fatal_recall,0.35135135135135137,0.29343629343629346,0.40926640926640928
cas,2207,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,2207,future,logistic_weighted,serious_or_fatal_recall,0.6538793103448276,0.63362068965517238,0.6732758620689655
cas,2207,future,lightgbm_legacy,serious_or_fatal_recall,0.61206896551724133,0.59267241379310343,0.63318965517241377
cas,2207,future,lightgbm_revised,serious_or_fatal_recall,0.5961206896551724,0.57586206896551728,0.6155172413793103
cas,2207,future,dummy_most_frequent,mean_asymmetric_cost,0.51384936444697404,0.51384936444697404,0.51384936444697404
cas,2207,future,logistic_weighted,mean_asymmetric_cost,0.83380762663631192,0.81720498956554732,0.85078732688294445
cas,2207,future,lightgbm_legacy,mean_asymmetric_cost,0.80335799658508822,0.78647078353253652,0.82024758110415474
cas,2207,future,lightgbm_revised,mean_asymmetric_cost,0.76437108708025048,0.74805302599127299,0.78116107000569157
cas,3301,internal,dummy_most_frequent,macro_f1,0.29214085910257881,0.29214085910257881,0.29214085910257881
cas,3301,internal,logistic_weighted,macro_f1,0.3280469355148154,0.31692457554759784,0.33955573005969841
cas,3301,internal,lightgbm_legacy,macro_f1,0.33431407510491723,0.32253870787948963,0.34625632003466789
cas,3301,internal,lightgbm_revised,macro_f1,0.33317507756835424,0.32090123763921319,0.3454782149239442
cas,3301,internal,dummy_most_frequent,qwk,0,0,0
cas,3301,internal,logistic_weighted,qwk,0.11220927663460545,0.09391670955126552,0.13033435453370332
cas,3301,internal,lightgbm_legacy,qwk,0.094509566969091852,0.073018499451104266,0.11628358677603395
cas,3301,internal,lightgbm_revised,qwk,0.092588744874734008,0.071500068183602036,0.11429377522475216
cas,3301,internal,dummy_most_frequent,ordinal_mae,0.24718641293226928,0.24718641293226928,0.24718641293226928
cas,3301,internal,logistic_weighted,ordinal_mae,0.7219152854511971,0.7000204624514017,0.74258747697974214
